settlement_id,payment_id,amount,currency,utr,settled_at,status
SET-064,pay_1064,3714.01,INR,UTR4964990913,2026-08-15,settled
SET-065,pay_1065,2264.24,INR,UTR2328120679,2026-08-03,settled
SET-066,pay_1066,2471.82,INR,UTR4471349361,2026-08-08,settled
SET-067,pay_1067,5251.55,INR,UTR2102499471,2026-08-09,settled
SET-068,pay_1068,5571.69,INR,UTR4887719065,2026-08-13,settled
SET-069,pay_1069,401.75,INR,UTR9904902787,2026-08-08,settled
SET-070,pay_1070,1615.62,INR,UTR6717565512,2026-08-19,settled
SET-071,pay_1071,3410.83,INR,UTR4680715451,2026-08-16,settled
SET-072,pay_1072,6946.3,INR,UTR8760385977,2026-08-01,settled
SET-073,pay_1073,1787.75,INR,UTR2477109324,2026-08-18,settled
SET-074,pay_1074,4507.56,INR,UTR3171274846,2026-08-03,settled
SET-075,pay_1075,7845.91,INR,UTR7826398214,2026-08-08,settled
SET-076,pay_1076,2237.29,INR,UTR4044997278,2026-08-17,settled
SET-077,pay_1077,2267.21,INR,UTR8675339636,2026-08-18,settled
SET-078,pay_1078,2113.61,INR,UTR6627028951,2026-08-16,settled
SET-079,pay_1079,868.36,INR,UTR0262174596,2026-08-15,settled
SET-080,pay_1080,5155.06,INR,UTR6578091343,2026-08-18,settled
SET-081,pay_1081,2773.64,INR,UTR1724005045,2026-08-04,settled
SET-082,pay_1082,2754.91,INR,UTR8692221969,2026-08-08,settled
SET-083,pay_1083,3136.7,INR,UTR2374740748,2026-08-19,settled
SET-084,pay_1084,721.01,INR,UTR9464743671,2026-08-12,settled
SET-085,pay_1085,2473.78,INR,UTR9440640909,2026-08-12,settled
SET-086,pay_1086,5047.18,INR,UTR3953394210,2026-08-10,settled
SET-087,pay_1087,4795.08,INR,UTR9521456232,2026-08-02,settled
SET-088,pay_1088,3325.86,INR,UTR2474517123,2026-08-09,settled
SET-089,pay_1089,5813.44,INR,UTR5160481754,2026-08-18,settled
SET-090,pay_1090,4987.78,INR,UTR1370985931,2026-08-12,settled
SET-091,pay_1091,8229.79,INR,UTR6120047113,2026-08-10,settled
SET-092,pay_1092,1653.14,INR,UTR5869261796,2026-08-15,settled
SET-093,pay_1093,2877.79,INR,UTR3773515850,2026-08-12,settled
SET-094,pay_1094,8904.98,INR,UTR3183933529,2026-08-19,settled
SET-095,pay_1095,7214.87,INR,UTR9502402681,2026-08-08,settled
SET-096,pay_1096,4548.09,INR,UTR8917839084,2026-08-12,settled
SET-097,pay_1097,3237.95,INR,UTR1249985698,2026-08-05,settled
SET-098,pay_1098,4017.42,INR,UTR6615654527,2026-08-15,settled
SET-099,pay_1099,5274.31,INR,UTR6560494519,2026-08-04,settled
SET-100,pay_1100,1815.21,INR,UTR3158514936,2026-08-16,settled
